Fecha;Comuna;Validaciones;Buses_operativos;Dia
01-08-2025;Santiago;35795;420;Laboral
01-08-2025;Maipœ;96820;764;Laboral
01-08-2025;Puente Alto;26265;616;Laboral
01-08-2025;La Florida;57194;608;Laboral
01-08-2025;„u–oa;64131;280;Laboral
01-08-2025;Las Condes;87221;458;Laboral
02-08-2025;Santiago;5769;493;Sabado
02-08-2025;Maipœ;7433;341;Sabado
02-08-2025;Puente Alto;22568;609;Sabado
02-08-2025;La Florida;24769;171;Sabado
02-08-2025;„u–oa;11396;710;Sabado
02-08-2025;Las Condes;30658;660;Sabado
03-08-2025;Santiago;23431;625;Domingo
03-08-2025;Maipœ;7747;339;Domingo
03-08-2025;Puente Alto;24118;712;Domingo
04-08-2025;San Bernardo;46437;162;laboral
04-08-2025;Estaci—n Central;5593;562;laboral
04-08-2025;Santiago;42971;712;laboral
04-08-2025;La Florida;38744;306;laboral
04-08-2025;Puente Alto;42681;632;laboral
05-08-2025;Independencia;20595;245;laboral
05-08-2025;El bosque;36955;530;laboral
05-08-2025;Cerronavia;25000;221;laboral
05-08-2025;Espejo;55061;191;laboral
05-08-2025;Maipu;39691;169;laboral
06-08-2025;Vitacura;13293;330;laboral
06-08-2025;San Ram—n;21724;771;laboral
06-08-2025;Santiago;28271;363;laboral
06-08-2025;Maipœ;8188;771;laboral
06-08-2025;Puente Alto;32913;500;laboral
07-08-2025;La Florida;46014;464;laboral
07-08-2025;„u–oa;11686;170;laboral
07-08-2025;Las Condes;35518;766;laboral
07-08-2025;Santiago;59101;721;laboral
07-08-2025;Maipœ;37322;706;laboral
08-08-2025;Puente Alto;29882;181;laboral
08-08-2025;La Florida;30203;637;laboral
08-08-2025;„u–oa;22736;215;laboral
08-08-2025;Las Condes;59189;580;laboral
08-08-2025;Santiago;20831;601;laboral
09-08-2025;Maipœ;21680;636;sabado
09-08-2025;Puente Alto;19522;733;sabado
09-08-2025;San Bernardo;33670;238;sabado
09-08-2025;Estaci—n Central;50273;529;sabado
09-08-2025;Santiago;47945;526;sabado
10-08-2025;La Florida;37476;608;domingo
10-08-2025;Puente Alto;18062;387;domingo
10-08-2025;Independencia;43242;420;domingo
10-08-2025;El bosque;22047;518;domingo
10-08-2025;Cerronavia;15980;605;domingo
11-08-2025;Espejo;59249;683;laboral
11-08-2025;Maipu;21011;428;laboral
11-08-2025;Vitacura;38608;374;laboral
11-08-2025;San Ram—n;55395;347;laboral
11-08-2025;Santiago;46331;589;laboral
12-08-2025;Maipœ;35161;315;laboral
12-08-2025;Puente Alto;25189;535;laboral
12-08-2025;La Florida;8626;272;laboral
12-08-2025;„u–oa;9442;680;laboral
12-08-2025;Las Condes;58019;612;laboral
13-08-2025;Santiago;7010;394;laboral
13-08-2025;Maipœ;11231;318;laboral
13-08-2025;Puente Alto;16709;357;laboral
13-08-2025;La Florida;7909;540;laboral
13-08-2025;„u–oa;25116;420;laboral
14-08-2025;Las Condes;38853;488;laboral
14-08-2025;Santiago;40067;557;laboral
14-08-2025;Maipœ;49437;407;laboral
14-08-2025;Puente Alto;43979;765;laboral
14-08-2025;San Bernardo;40966;659;laboral
15-08-2025;Estaci—n Central;54959;523;laboral
15-08-2025;Santiago;27795;408;laboral
15-08-2025;La Florida;12127;521;laboral
15-08-2025;Puente Alto;40560;221;laboral
15-08-2025;Independencia;47928;788;laboral
16-08-2025;El bosque;26474;522;sabado
16-08-2025;Cerronavia;53531;512;sabado
16-08-2025;Espejo;32217;277;sabado
16-08-2025;Maipu;32542;698;sabado
16-08-2025;Vitacura;19132;635;sabado
17-08-2025;San Ram—n;24531;291;domingo
17-08-2025;Santiago;40236;355;domingo
17-08-2025;Maipœ;49879;232;domingo
17-08-2025;Puente Alto;11091;690;domingo
17-08-2025;La Florida;39341;774;domingo
18-08-2025;„u–oa;58294;327;laboral
18-08-2025;Las Condes;16195;418;laboral
18-08-2025;Santiago;24670;259;laboral
18-08-2025;Maipœ;47643;548;laboral
18-08-2025;Puente Alto;12225;388;laboral
19-08-2025;La Florida;6264;751;laboral
19-08-2025;„u–oa;19053;257;laboral
19-08-2025;Las Condes;45244;527;laboral
19-08-2025;Santiago;41499;623;laboral
19-08-2025;Maipœ;51240;339;laboral
20-08-2025;Puente Alto;10440;769;laboral
20-08-2025;San Bernardo;11067;789;laboral
20-08-2025;Estaci—n Central;24618;520;laboral
20-08-2025;Santiago;23505;800;laboral
20-08-2025;La Florida;47832;449;laboral
21-08-2025;Puente Alto;10536;261;laboral
21-08-2025;Independencia;43825;329;laboral
21-08-2025;El bosque;13060;778;laboral
21-08-2025;Cerronavia;14644;438;laboral
21-08-2025;Espejo;23734;761;laboral
