codigo_region,num_establecimientos,presupuesto_educacion,año
RM,512,32020,2021
V,830,31982000,
VIII,658,22485M,2021
IX,371,30070,2021
X,1113,19577000,2021
VII,1092,27915M,2021
VI,616,19609,2021
IV,545,31113000,
II,292,23292M,2021
III,1193,31193,2021
RM,1248,26702000,2022
V,386,22118M,2022
VIII,693,7507,2022
IX,1039,27654000,
X,792,33599M,2022
VII,1197,12578,2022
VI,1330,17457000,2022
IV,1043,5110M,2022
II,1252,48950,2022
III,1033,9585000,2022
RM,826,45839M,2023
V,405,24681,2023
VIII,986,26376000,2023
IX,755,41333M,2023
X,1011,48576,
VII,506,45338000,2023
VI,981,40909M,2023
IV,772,23803,2023
II,1337,44758000,2023
III,1102,33952M,2023
